title,overview,caliper,disc,material,included,price,disc_type,option,variant_sku,sku_c,image,cell
GT-11-.6003A (GT SYSTEMS),"['Product Description', '<p>(F) 4-Piston Calipers | 328x28mm (12.9"") 2-Piece Discs | Complete Axle Set | Pre-Assembled | All Necessary Hardware Included</p>', 'Front or Rear System Shown', 'Front']","['Caliper Body', 'Cast 2-Piece Radial Mount', 'Caliper Piston Configuration', '4-Piston', 'Caliper Piston Design And Insert Type', 'Inner Pressure Seal / OEM Approved Dust Boot']","['Disc Material/Finish', 'Advanced High Carbon Alloy / Corrosion Resistant Plating', 'Disc Diameter', '328mm', 'Disc Width (Measurement)', '28mm', 'Disc Air Gap (Measurement)', '17mm', 'Disc Annulus (Measurement)', '54mm', 'Disc Construction', '2-Piece Disc Assembly', 'Disc Vane Design (Measurement)', 'Vented Curved 48 Vane', 'Disc To Hat Mounting System', 'Floating D-Bobbin with Anti Rattle Spring']","['Pad Compound', 'Brembo High Performance FM1000', 'Pad Volume / Surface Area', '48.2 | 53.6']","['Brake Lines', 'Proprietary Brembo Stainless Steel Braided Brake Lines by Goodridge', 'Mounting Hardware', 'Brembo Engineered CNC Billet Caliper Adapters - All Necessary Hardware Included For Ease of Installation']","$3,395.00 USD",Cross Drilled,Black, 111.6003A1 ,111.6003A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-a-caliper-4-piston-2-piece-320-328mm-drilled-black-med.jpg,https://racetechnologies.com/products/brakekits/gt-11-6003a-0
GT-11-.6003A (GT SYSTEMS),"['Product Description', '<p>(F) 4-Piston Calipers | 328x28mm (12.9"") 2-Piece Discs | Complete Axle Set | Pre-Assembled | All Necessary Hardware Included</p>', 'Front or Rear System Shown', 'Front']","['Caliper Body', 'Cast 2-Piece Radial Mount', 'Caliper Piston Configuration', '4-Piston', 'Caliper Piston Design And Insert Type', 'Inner Pressure Seal / OEM Approved Dust Boot']","['Disc Material/Finish', 'Advanced High Carbon Alloy / Corrosion Resistant Plating', 'Disc Diameter', '328mm', 'Disc Width (Measurement)', '28mm', 'Disc Air Gap (Measurement)', '17mm', 'Disc Annulus (Measurement)', '54mm', 'Disc Construction', '2-Piece Disc Assembly', 'Disc Vane Design (Measurement)', 'Vented Curved 48 Vane', 'Disc To Hat Mounting System', 'Floating D-Bobbin with Anti Rattle Spring']","['Pad Compound', 'Brembo High Performance FM1000', 'Pad Volume / Surface Area', '48.2 | 53.6']","['Brake Lines', 'Proprietary Brembo Stainless Steel Braided Brake Lines by Goodridge', 'Mounting Hardware', 'Brembo Engineered CNC Billet Caliper Adapters - All Necessary Hardware Included For Ease of Installation']","$3,395.00 USD",Cross Drilled,Silver, 111.6003A3 ,111.6003A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-a-caliper-4-piston-2-piece-320-328mm-drilled-silver-med.jpg,https://racetechnologies.com/products/brakekits/gt-11-6003a-0
GT-11-.6003A (GT SYSTEMS),"['Product Description', '<p>(F) 4-Piston Calipers | 328x28mm (12.9"") 2-Piece Discs | Complete Axle Set | Pre-Assembled | All Necessary Hardware Included</p>', 'Front or Rear System Shown', 'Front']","['Caliper Body', 'Cast 2-Piece Radial Mount', 'Caliper Piston Configuration', '4-Piston', 'Caliper Piston Design And Insert Type', 'Inner Pressure Seal / OEM Approved Dust Boot']","['Disc Material/Finish', 'Advanced High Carbon Alloy / Corrosion Resistant Plating', 'Disc Diameter', '328mm', 'Disc Width (Measurement)', '28mm', 'Disc Air Gap (Measurement)', '17mm', 'Disc Annulus (Measurement)', '54mm', 'Disc Construction', '2-Piece Disc Assembly', 'Disc Vane Design (Measurement)', 'Vented Curved 48 Vane', 'Disc To Hat Mounting System', 'Floating D-Bobbin with Anti Rattle Spring']","['Pad Compound', 'Brembo High Performance FM1000', 'Pad Volume / Surface Area', '48.2 | 53.6']","['Brake Lines', 'Proprietary Brembo Stainless Steel Braided Brake Lines by Goodridge', 'Mounting Hardware', 'Brembo Engineered CNC Billet Caliper Adapters - All Necessary Hardware Included For Ease of Installation']","$3,395.00 USD",TY1,Red, 112.6003A2 ,112.6003A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-a-caliper-4-piston-2-piece-320-328mm-slotted-type-1-red-med.jpg,https://racetechnologies.com/products/brakekits/gt-11-6003a-0
GT-11-.6003A (GT SYSTEMS),"['Product Description', '<p>(F) 4-Piston Calipers | 328x28mm (12.9"") 2-Piece Discs | Complete Axle Set | Pre-Assembled | All Necessary Hardware Included</p>', 'Front or Rear System Shown', 'Front']","['Caliper Body', 'Cast 2-Piece Radial Mount', 'Caliper Piston Configuration', '4-Piston', 'Caliper Piston Design And Insert Type', 'Inner Pressure Seal / OEM Approved Dust Boot']","['Disc Material/Finish', 'Advanced High Carbon Alloy / Corrosion Resistant Plating', 'Disc Diameter', '328mm', 'Disc Width (Measurement)', '28mm', 'Disc Air Gap (Measurement)', '17mm', 'Disc Annulus (Measurement)', '54mm', 'Disc Construction', '2-Piece Disc Assembly', 'Disc Vane Design (Measurement)', 'Vented Curved 48 Vane', 'Disc To Hat Mounting System', 'Floating D-Bobbin with Anti Rattle Spring']","['Pad Compound', 'Brembo High Performance FM1000', 'Pad Volume / Surface Area', '48.2 | 53.6']","['Brake Lines', 'Proprietary Brembo Stainless Steel Braided Brake Lines by Goodridge', 'Mounting Hardware', 'Brembo Engineered CNC Billet Caliper Adapters - All Necessary Hardware Included For Ease of Installation']","$3,395.00 USD",TY1,Black, 112.6003A1 ,112.6003A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-a-caliper-4-piston-2-piece-320-328mm-slotted-type-1-black-med.jpg,https://racetechnologies.com/products/brakekits/gt-11-6003a-0
GT-11-.6003A (GT SYSTEMS),"['Product Description', '<p>(F) 4-Piston Calipers | 328x28mm (12.9"") 2-Piece Discs | Complete Axle Set | Pre-Assembled | All Necessary Hardware Included</p>', 'Front or Rear System Shown', 'Front']","['Caliper Body', 'Cast 2-Piece Radial Mount', 'Caliper Piston Configuration', '4-Piston', 'Caliper Piston Design And Insert Type', 'Inner Pressure Seal / OEM Approved Dust Boot']","['Disc Material/Finish', 'Advanced High Carbon Alloy / Corrosion Resistant Plating', 'Disc Diameter', '328mm', 'Disc Width (Measurement)', '28mm', 'Disc Air Gap (Measurement)', '17mm', 'Disc Annulus (Measurement)', '54mm', 'Disc Construction', '2-Piece Disc Assembly', 'Disc Vane Design (Measurement)', 'Vented Curved 48 Vane', 'Disc To Hat Mounting System', 'Floating D-Bobbin with Anti Rattle Spring']","['Pad Compound', 'Brembo High Performance FM1000', 'Pad Volume / Surface Area', '48.2 | 53.6']","['Brake Lines', 'Proprietary Brembo Stainless Steel Braided Brake Lines by Goodridge', 'Mounting Hardware', 'Brembo Engineered CNC Billet Caliper Adapters - All Necessary Hardware Included For Ease of Installation']","$3,395.00 USD",TY1,Silver, 112.6003A3 ,112.6003A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-a-caliper-4-piston-2-piece-320-328mm-slotted-type-1-silver-med.jpg,https://racetechnologies.com/products/brakekits/gt-11-6003a-0
GT-1M-.8056A (GT SYSTEMS),"['Product Description', '<p>(F) 6-Piston Monobloc Calipers | 355x32mm (14"") 2-Piece Discs | Complete Axle Set | Pre-Assembled | All Necessary Hardware Included</p>', 'Front or Rear System Shown', 'Front']","['Caliper Body', 'Cast Monobloc Radial Mount', 'Caliper Piston Configuration', '6-Piston', 'Caliper Piston Design And Insert Type', 'Inner Pressure Seal / OEM Approved Dust Boot']","['Disc Material/Finish', 'Advanced High Carbon Alloy / Corrosion Resistant Plating', 'Disc Diameter', '355mm', 'Disc Width (Measurement)', '32mm', 'Disc Air Gap (Measurement)', '16mm', 'Disc Annulus (Measurement)', '54mm', 'Disc Construction', '2-Piece Disc Assembly', 'Disc Vane Design (Measurement)', 'Vented Curved 48 Vane', 'Disc To Hat Mounting System', 'Floating D-Bobbin with Anti Rattle Spring']","['Pad Compound', 'Brembo High Performance FM1000', 'Pad Volume / Surface Area', '94.5 | 84']","['Brake Lines', 'Proprietary Brembo Stainless Steel Braided Brake Lines by Goodridge', 'Mounting Hardware', 'Brembo Engineered CNC Billet Caliper Adapters - All Necessary Hardware Included For Ease of Installation']","$4,395.00 USD",Cross Drilled,Red, 1M1.8056A2 ,1M1.8056A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-m-caliper-6-piston-2-piece-355-380mm-drilled-red-med.jpg,https://racetechnologies.com/products/brakekits/gt-1m-8056a-0
GT-1M-.8056A (GT SYSTEMS),"['Product Description', '<p>(F) 6-Piston Monobloc Calipers | 355x32mm (14"") 2-Piece Discs | Complete Axle Set | Pre-Assembled | All Necessary Hardware Included</p>', 'Front or Rear System Shown', 'Front']","['Caliper Body', 'Cast Monobloc Radial Mount', 'Caliper Piston Configuration', '6-Piston', 'Caliper Piston Design And Insert Type', 'Inner Pressure Seal / OEM Approved Dust Boot']","['Disc Material/Finish', 'Advanced High Carbon Alloy / Corrosion Resistant Plating', 'Disc Diameter', '355mm', 'Disc Width (Measurement)', '32mm', 'Disc Air Gap (Measurement)', '16mm', 'Disc Annulus (Measurement)', '54mm', 'Disc Construction', '2-Piece Disc Assembly', 'Disc Vane Design (Measurement)', 'Vented Curved 48 Vane', 'Disc To Hat Mounting System', 'Floating D-Bobbin with Anti Rattle Spring']","['Pad Compound', 'Brembo High Performance FM1000', 'Pad Volume / Surface Area', '94.5 | 84']","['Brake Lines', 'Proprietary Brembo Stainless Steel Braided Brake Lines by Goodridge', 'Mounting Hardware', 'Brembo Engineered CNC Billet Caliper Adapters - All Necessary Hardware Included For Ease of Installation']","$4,395.00 USD",Cross Drilled,Black, 1M1.8056A1 ,1M1.8056A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-m-caliper-6-piston-2-piece-355-380mm-drilled-black-med.jpg,https://racetechnologies.com/products/brakekits/gt-1m-8056a-0
GT-1M-.8056A (GT SYSTEMS),"['Product Description', '<p>(F) 6-Piston Monobloc Calipers | 355x32mm (14"") 2-Piece Discs | Complete Axle Set | Pre-Assembled | All Necessary Hardware Included</p>', 'Front or Rear System Shown', 'Front']","['Caliper Body', 'Cast Monobloc Radial Mount', 'Caliper Piston Configuration', '6-Piston', 'Caliper Piston Design And Insert Type', 'Inner Pressure Seal / OEM Approved Dust Boot']","['Disc Material/Finish', 'Advanced High Carbon Alloy / Corrosion Resistant Plating', 'Disc Diameter', '355mm', 'Disc Width (Measurement)', '32mm', 'Disc Air Gap (Measurement)', '16mm', 'Disc Annulus (Measurement)', '54mm', 'Disc Construction', '2-Piece Disc Assembly', 'Disc Vane Design (Measurement)', 'Vented Curved 48 Vane', 'Disc To Hat Mounting System', 'Floating D-Bobbin with Anti Rattle Spring']","['Pad Compound', 'Brembo High Performance FM1000', 'Pad Volume / Surface Area', '94.5 | 84']","['Brake Lines', 'Proprietary Brembo Stainless Steel Braided Brake Lines by Goodridge', 'Mounting Hardware', 'Brembo Engineered CNC Billet Caliper Adapters - All Necessary Hardware Included For Ease of Installation']","$4,395.00 USD",Cross Drilled,Silver, 1M1.8056A3 ,1M1.8056A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-m-caliper-6-piston-2-piece-355-380mm-drilled-silver-med.jpg,https://racetechnologies.com/products/brakekits/gt-1m-8056a-0
GT-1M-.8056A (GT SYSTEMS),"['Product Description', '<p>(F) 6-Piston Monobloc Calipers | 355x32mm (14"") 2-Piece Discs | Complete Axle Set | Pre-Assembled | All Necessary Hardware Included</p>', 'Front or Rear System Shown', 'Front']","['Caliper Body', 'Cast Monobloc Radial Mount', 'Caliper Piston Configuration', '6-Piston', 'Caliper Piston Design And Insert Type', 'Inner Pressure Seal / OEM Approved Dust Boot']","['Disc Material/Finish', 'Advanced High Carbon Alloy / Corrosion Resistant Plating', 'Disc Diameter', '355mm', 'Disc Width (Measurement)', '32mm', 'Disc Air Gap (Measurement)', '16mm', 'Disc Annulus (Measurement)', '54mm', 'Disc Construction', '2-Piece Disc Assembly', 'Disc Vane Design (Measurement)', 'Vented Curved 48 Vane', 'Disc To Hat Mounting System', 'Floating D-Bobbin with Anti Rattle Spring']","['Pad Compound', 'Brembo High Performance FM1000', 'Pad Volume / Surface Area', '94.5 | 84']","['Brake Lines', 'Proprietary Brembo Stainless Steel Braided Brake Lines by Goodridge', 'Mounting Hardware', 'Brembo Engineered CNC Billet Caliper Adapters - All Necessary Hardware Included For Ease of Installation']","$4,395.00 USD",Cross Drilled,Yellow, 1M1.8056A5 ,1M1.8056A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-m-caliper-6-piston-2-piece-355-380mm-drilled-yellow-med.jpg,https://racetechnologies.com/products/brakekits/gt-1m-8056a-0
GT-1M-.8056A (GT SYSTEMS),"['Product Description', '<p>(F) 6-Piston Monobloc Calipers | 355x32mm (14"") 2-Piece Discs | Complete Axle Set | Pre-Assembled | All Necessary Hardware Included</p>', 'Front or Rear System Shown', 'Front']","['Caliper Body', 'Cast Monobloc Radial Mount', 'Caliper Piston Configuration', '6-Piston', 'Caliper Piston Design And Insert Type', 'Inner Pressure Seal / OEM Approved Dust Boot']","['Disc Material/Finish', 'Advanced High Carbon Alloy / Corrosion Resistant Plating', 'Disc Diameter', '355mm', 'Disc Width (Measurement)', '32mm', 'Disc Air Gap (Measurement)', '16mm', 'Disc Annulus (Measurement)', '54mm', 'Disc Construction', '2-Piece Disc Assembly', 'Disc Vane Design (Measurement)', 'Vented Curved 48 Vane', 'Disc To Hat Mounting System', 'Floating D-Bobbin with Anti Rattle Spring']","['Pad Compound', 'Brembo High Performance FM1000', 'Pad Volume / Surface Area', '94.5 | 84']","['Brake Lines', 'Proprietary Brembo Stainless Steel Braided Brake Lines by Goodridge', 'Mounting Hardware', 'Brembo Engineered CNC Billet Caliper Adapters - All Necessary Hardware Included For Ease of Installation']","$4,395.00 USD",TY1,Red, 1M2.8056A2 ,1M2.8056A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-m-caliper-6-piston-2-piece-355-380mm-slotted-type-1-red-med.jpg,https://racetechnologies.com/products/brakekits/gt-1m-8056a-0
GT-1M-.8056A (GT SYSTEMS),"['Product Description', '<p>(F) 6-Piston Monobloc Calipers | 355x32mm (14"") 2-Piece Discs | Complete Axle Set | Pre-Assembled | All Necessary Hardware Included</p>', 'Front or Rear System Shown', 'Front']","['Caliper Body', 'Cast Monobloc Radial Mount', 'Caliper Piston Configuration', '6-Piston', 'Caliper Piston Design And Insert Type', 'Inner Pressure Seal / OEM Approved Dust Boot']","['Disc Material/Finish', 'Advanced High Carbon Alloy / Corrosion Resistant Plating', 'Disc Diameter', '355mm', 'Disc Width (Measurement)', '32mm', 'Disc Air Gap (Measurement)', '16mm', 'Disc Annulus (Measurement)', '54mm', 'Disc Construction', '2-Piece Disc Assembly', 'Disc Vane Design (Measurement)', 'Vented Curved 48 Vane', 'Disc To Hat Mounting System', 'Floating D-Bobbin with Anti Rattle Spring']","['Pad Compound', 'Brembo High Performance FM1000', 'Pad Volume / Surface Area', '94.5 | 84']","['Brake Lines', 'Proprietary Brembo Stainless Steel Braided Brake Lines by Goodridge', 'Mounting Hardware', 'Brembo Engineered CNC Billet Caliper Adapters - All Necessary Hardware Included For Ease of Installation']","$4,395.00 USD",TY1,Black, 1M2.8056A1 ,1M2.8056A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-m-caliper-6-piston-2-piece-355-380mm-slotted-type-1-black-med.jpg,https://racetechnologies.com/products/brakekits/gt-1m-8056a-0
GT-1M-.8056A (GT SYSTEMS),"['Product Description', '<p>(F) 6-Piston Monobloc Calipers | 355x32mm (14"") 2-Piece Discs | Complete Axle Set | Pre-Assembled | All Necessary Hardware Included</p>', 'Front or Rear System Shown', 'Front']","['Caliper Body', 'Cast Monobloc Radial Mount', 'Caliper Piston Configuration', '6-Piston', 'Caliper Piston Design And Insert Type', 'Inner Pressure Seal / OEM Approved Dust Boot']","['Disc Material/Finish', 'Advanced High Carbon Alloy / Corrosion Resistant Plating', 'Disc Diameter', '355mm', 'Disc Width (Measurement)', '32mm', 'Disc Air Gap (Measurement)', '16mm', 'Disc Annulus (Measurement)', '54mm', 'Disc Construction', '2-Piece Disc Assembly', 'Disc Vane Design (Measurement)', 'Vented Curved 48 Vane', 'Disc To Hat Mounting System', 'Floating D-Bobbin with Anti Rattle Spring']","['Pad Compound', 'Brembo High Performance FM1000', 'Pad Volume / Surface Area', '94.5 | 84']","['Brake Lines', 'Proprietary Brembo Stainless Steel Braided Brake Lines by Goodridge', 'Mounting Hardware', 'Brembo Engineered CNC Billet Caliper Adapters - All Necessary Hardware Included For Ease of Installation']","$4,395.00 USD",TY1,Silver, 1M2.8056A3 ,1M2.8056A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-m-caliper-6-piston-2-piece-355-380mm-slotted-type-1-silver-med.jpg,https://racetechnologies.com/products/brakekits/gt-1m-8056a-0
GT-1M-.8056A (GT SYSTEMS),"['Product Description', '<p>(F) 6-Piston Monobloc Calipers | 355x32mm (14"") 2-Piece Discs | Complete Axle Set | Pre-Assembled | All Necessary Hardware Included</p>', 'Front or Rear System Shown', 'Front']","['Caliper Body', 'Cast Monobloc Radial Mount', 'Caliper Piston Configuration', '6-Piston', 'Caliper Piston Design And Insert Type', 'Inner Pressure Seal / OEM Approved Dust Boot']","['Disc Material/Finish', 'Advanced High Carbon Alloy / Corrosion Resistant Plating', 'Disc Diameter', '355mm', 'Disc Width (Measurement)', '32mm', 'Disc Air Gap (Measurement)', '16mm', 'Disc Annulus (Measurement)', '54mm', 'Disc Construction', '2-Piece Disc Assembly', 'Disc Vane Design (Measurement)', 'Vented Curved 48 Vane', 'Disc To Hat Mounting System', 'Floating D-Bobbin with Anti Rattle Spring']","['Pad Compound', 'Brembo High Performance FM1000', 'Pad Volume / Surface Area', '94.5 | 84']","['Brake Lines', 'Proprietary Brembo Stainless Steel Braided Brake Lines by Goodridge', 'Mounting Hardware', 'Brembo Engineered CNC Billet Caliper Adapters - All Necessary Hardware Included For Ease of Installation']","$4,395.00 USD",TY1,Yellow, 1M2.8056A5 ,1M2.8056A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-m-caliper-6-piston-2-piece-355-380mm-slotted-type-1-yellow-med.jpg,https://racetechnologies.com/products/brakekits/gt-1m-8056a-0
GT-1M-.8056A (GT SYSTEMS),"['Product Description', '<p>(F) 6-Piston Monobloc Calipers | 355x32mm (14"") 2-Piece Discs | Complete Axle Set | Pre-Assembled | All Necessary Hardware Included</p>', 'Front or Rear System Shown', 'Front']","['Caliper Body', 'Cast Monobloc Radial Mount', 'Caliper Piston Configuration', '6-Piston', 'Caliper Piston Design And Insert Type', 'Inner Pressure Seal / OEM Approved Dust Boot']","['Disc Material/Finish', 'Advanced High Carbon Alloy / Corrosion Resistant Plating', 'Disc Diameter', '355mm', 'Disc Width (Measurement)', '32mm', 'Disc Air Gap (Measurement)', '16mm', 'Disc Annulus (Measurement)', '54mm', 'Disc Construction', '2-Piece Disc Assembly', 'Disc Vane Design (Measurement)', 'Vented Curved 48 Vane', 'Disc To Hat Mounting System', 'Floating D-Bobbin with Anti Rattle Spring']","['Pad Compound', 'Brembo High Performance FM1000', 'Pad Volume / Surface Area', '94.5 | 84']","['Brake Lines', 'Proprietary Brembo Stainless Steel Braided Brake Lines by Goodridge', 'Mounting Hardware', 'Brembo Engineered CNC Billet Caliper Adapters - All Necessary Hardware Included For Ease of Installation']","$4,395.00 USD",TY3,Red, 1M3.8056A2 ,1M3.8056A,https://racetechnologies.com/sites/default/files/content/images/brakekits/brembo-m-caliper-6-piston-2-piece-355-380mm-slotted-type-3-red-med.jpg,https://racetechnologies.com/products/brakekits/gt-1m-8056a-0
